LSOA code,LSOA name,IMD,IMD_R,Income,Income_R,Employment,Employment_R,Education,Education_R,Health,Health_R,Crime,Crime_R,Housing,Housing_R,Living,Living_R
E01002756,Islington 001B,27.7760 ,3,0.1810 ,3,0.1360 ,3,4.7250 ,9,0.1820 ,5,0.9760 ,2,23.0710 ,4,37.3510 ,2
E01002757,Islington 002C,24.1020 ,4,0.1930 ,3,0.1190 ,3,14.2040 ,6,0.0040 ,5,0.2670 ,4,24.0630 ,4,25.2700 ,4
E01002758,Islington 001C,44.1340 ,1,0.3150 ,1,0.2190 ,1,18.5730 ,5,1.0610 ,2,0.6520 ,3,28.6030 ,3,26.3290 ,4
E01002759,Islington 002D,20.6450 ,5,0.1630 ,3,0.0890 ,5,5.3330 ,9,0.4790 ,3,0.1700 ,5,22.2860 ,5,25.5860 ,4
E01002760,Islington 002E,38.8260 ,2,0.3070 ,1,0.1890 ,2,25.8430 ,4,0.5650 ,3,0.4520 ,3,25.9280 ,4,23.6330 ,4
E01002762,Islington 011C,20.7170 ,5,0.1090 ,5,0.0820 ,5,4.3780 ,9,0.1410 ,5,0.6080 ,3,31.0060 ,2,35.6450 ,2
E01002763,Islington 007D,33.1130 ,3,0.1670 ,3,0.1220 ,3,10.4680 ,7,1.0820 ,2,1.2450 ,1,31.0270 ,2,35.2770 ,2
E01002764,Islington 010A,30.9460 ,3,0.2130 ,2,0.1220 ,3,15.6490 ,6,0.1070 ,5,0.9280 ,2,29.0220 ,3,40.6090 ,2
E01002765,Islington 015D,28.2360 ,3,0.1970 ,3,0.1090 ,4,19.7590 ,5,0.5880 ,3,0.2040 ,5,32.2720 ,2,27.9710 ,4
E01002766,Islington 015E,31.5530 ,3,0.2130 ,2,0.1280 ,3,27.2110 ,3,0.5460 ,3,0.4150 ,4,31.3530 ,2,28.9010 ,3
E01002767,Islington 011D,36.7830 ,2,0.2310 ,2,0.1480 ,3,15.1030 ,6,0.6220 ,3,0.8970 ,2,42.3570 ,1,31.4500 ,3
E01002768,Islington 004A,29.3120 ,3,0.1900 ,3,0.1320 ,3,8.3000 ,8,0.6920 ,3,0.5390 ,3,28.6690 ,3,34.5700 ,2
E01002769,Islington 008A,20.1180 ,5,0.1110 ,5,0.0760 ,6,1.8370 ,10,0.0720 ,5,0.7200 ,2,29.9820 ,3,36.4010 ,2
E01002770,Islington 004B,29.9770 ,3,0.1590 ,3,0.1110 ,4,3.7890 ,9,0.8350 ,2,1.0340 ,1,28.6300 ,3,44.5160 ,1
E01002771,Islington 004C,27.3330 ,3,0.1990 ,3,0.1150 ,4,8.6550 ,8,0.1300 ,5,0.9250 ,2,27.6160 ,3,31.4130 ,3
E01002772,Islington 002F,28.7210 ,3,0.1750 ,3,0.1020 ,4,7.7880 ,8,0.4310 ,4,1.0270 ,2,32.1070 ,2,38.5250 ,2
E01002773,Islington 004D,50.0950 ,1,0.3240 ,1,0.2310 ,1,22.4240 ,4,0.7120 ,3,2.0500 ,1,29.1980 ,3,26.8050 ,4
