LSOA Code,population,old,median_age,male,male_pop,old_pop
E01000362,1641.00 ,458.00 ,43.50 ,765.00 ,0.47 ,0.28 
E01000363,1565.00 ,425.00 ,42.10 ,795.00 ,0.51 ,0.27 
E01000364,1664.00 ,398.00 ,42.30 ,810.00 ,0.49 ,0.24 
E01000365,1833.00 ,531.00 ,40.80 ,839.00 ,0.46 ,0.29 
E01000366,1683.00 ,296.00 ,38.30 ,826.00 ,0.49 ,0.18 
E01000367,2167.00 ,360.00 ,35.90 ,1011.00 ,0.47 ,0.17 
E01000368,1671.00 ,250.00 ,35.20 ,784.00 ,0.47 ,0.15 
E01000369,1710.00 ,457.00 ,43.00 ,840.00 ,0.49 ,0.27 
E01000370,1604.00 ,505.00 ,47.10 ,805.00 ,0.50 ,0.31 
E01000371,1609.00 ,364.00 ,37.80 ,799.00 ,0.50 ,0.23 
E01000372,1659.00 ,320.00 ,37.40 ,804.00 ,0.48 ,0.19 
E01000373,1297.00 ,102.00 ,29.30 ,602.00 ,0.46 ,0.08 
E01000374,1640.00 ,206.00 ,30.80 ,796.00 ,0.49 ,0.13 
E01000375,2105.00 ,304.00 ,35.70 ,1070.00 ,0.51 ,0.14 
E01000376,1633.00 ,306.00 ,38.90 ,785.00 ,0.48 ,0.19 
E01000377,1455.00 ,397.00 ,42.10 ,741.00 ,0.51 ,0.27 
E01000378,2961.00 ,497.00 ,35.70 ,1480.00 ,0.50 ,0.17 
E01000379,1774.00 ,326.00 ,37.70 ,905.00 ,0.51 ,0.18 
E01000380,1728.00 ,427.00 ,40.80 ,819.00 ,0.47 ,0.25 
E01000381,1710.00 ,359.00 ,37.60 ,792.00 ,0.46 ,0.21 
E01000382,1552.00 ,381.00 ,44.00 ,754.00 ,0.49 ,0.25 
E01000383,1488.00 ,462.00 ,47.50 ,716.00 ,0.48 ,0.31 
E01000384,1708.00 ,431.00 ,41.00 ,806.00 ,0.47 ,0.25 
E01000385,2046.00 ,280.00 ,33.90 ,957.00 ,0.47 ,0.14 
E01000386,1539.00 ,349.00 ,37.90 ,661.00 ,0.43 ,0.23 
E01000387,1577.00 ,403.00 ,44.40 ,734.00 ,0.47 ,0.26 
E01000388,1553.00 ,504.00 ,46.50 ,732.00 ,0.47 ,0.32 
E01000389,1750.00 ,468.00 ,41.80 ,874.00 ,0.50 ,0.27 
E01000390,1259.00 ,345.00 ,44.80 ,610.00 ,0.48 ,0.27 
E01000391,1763.00 ,330.00 ,36.00 ,831.00 ,0.47 ,0.19 
E01000392,2146.00 ,272.00 ,33.20 ,1003.00 ,0.47 ,0.13 
E01000393,1698.00 ,318.00 ,38.10 ,855.00 ,0.50 ,0.19 
E01000394,1689.00 ,456.00 ,41.80 ,760.00 ,0.45 ,0.27 
E01000395,1533.00 ,353.00 ,40.80 ,768.00 ,0.50 ,0.23 
E01000396,1371.00 ,335.00 ,40.60 ,710.00 ,0.52 ,0.24 
E01000398,1646.00 ,373.00 ,40.30 ,799.00 ,0.49 ,0.23 
E01000399,1582.00 ,458.00 ,41.80 ,746.00 ,0.47 ,0.29 
E01000400,1570.00 ,367.00 ,40.50 ,767.00 ,0.49 ,0.23 
E01000401,1850.00 ,434.00 ,38.70 ,830.00 ,0.45 ,0.23 
E01000402,1614.00 ,333.00 ,37.40 ,763.00 ,0.47 ,0.21 
E01000403,2266.00 ,535.00 ,37.20 ,1103.00 ,0.49 ,0.24 
E01000404,2533.00 ,164.00 ,29.80 ,1281.00 ,0.51 ,0.06 
E01000405,1552.00 ,139.00 ,33.20 ,780.00 ,0.50 ,0.09 
E01000406,1988.00 ,216.00 ,32.10 ,1008.00 ,0.51 ,0.11 
E01000407,1714.00 ,482.00 ,42.50 ,830.00 ,0.48 ,0.28 
E01000408,1852.00 ,245.00 ,34.10 ,924.00 ,0.50 ,0.13 
E01000409,1741.00 ,448.00 ,42.20 ,856.00 ,0.49 ,0.26 
E01000410,1660.00 ,346.00 ,38.70 ,839.00 ,0.51 ,0.21 
E01000411,1466.00 ,368.00 ,41.30 ,683.00 ,0.47 ,0.25 
E01000412,1802.00 ,311.00 ,36.90 ,885.00 ,0.49 ,0.17 
E01000413,1380.00 ,316.00 ,38.50 ,660.00 ,0.48 ,0.23 
E01000414,1975.00 ,369.00 ,36.40 ,1000.00 ,0.51 ,0.19 
E01000415,1457.00 ,402.00 ,44.80 ,753.00 ,0.52 ,0.28 
E01000416,1774.00 ,304.00 ,35.00 ,852.00 ,0.48 ,0.17 
E01000417,1837.00 ,391.00 ,40.20 ,867.00 ,0.47 ,0.21 
E01000418,2065.00 ,368.00 ,36.80 ,985.00 ,0.48 ,0.18 
E01000419,1357.00 ,402.00 ,46.00 ,655.00 ,0.48 ,0.30 
